time,open,high,low,close,tick_volume,spread,real_volume,mma_20
2021-10-04,112900.0,112900.0,109979.0,110393.0,2315509,0,1191336599,113080.95
2021-10-05,110397.0,111691.0,110087.0,110458.0,2054311,0,1039415100,112710.4
2021-10-06,110454.0,110614.0,108180.0,110560.0,2487264,0,1332805400,112567.75
2021-10-07,110563.0,111522.0,110563.0,110585.0,2128207,0,1066247100,112328.95
2021-10-08,110586.0,114172.0,110586.0,112833.0,2399886,0,1287679200,112256.3
2021-10-11,112834.0,113982.0,112052.0,112181.0,1930449,0,1028473500,112045.15
2021-10-13,112181.0,114159.0,111807.0,113456.0,2565820,0,1173137500,111908.9
2021-10-14,113457.0,113881.0,112708.0,113186.0,1886302,0,895599100,111815.05
2021-10-15,113189.0,114776.0,113049.0,114648.0,1917406,0,1117466800,111857.75
2021-10-18,114647.0,114927.0,112841.0,114428.0,2089228,0,1125262200,112007.2
2021-10-19,114418.0,114418.0,109947.0,110673.0,2756188,0,1412921400,112098.65
2021-10-20,110678.0,112023.0,110176.0,110786.0,2246963,0,1173715800,112125.45
2021-10-21,110756.0,110756.0,105714.0,107735.0,3046332,0,1658846000,111898.1
2021-10-22,107714.0,107749.0,102854.0,106296.0,4569528,0,2144442700,111509.7
2021-10-25,106296.0,109372.0,106296.0,108715.0,2560056,0,1164610600,111281.3
2021-10-26,108706.0,108706.0,106321.0,106420.0,2336043,0,1090595400,110923.15
2021-10-27,106433.0,108225.0,106045.0,106363.0,2167120,0,1096781600,110735.1
2021-10-28,106369.0,107145.0,105282.0,105705.0,2177680,0,1158497300,110465.0
2021-10-29,105707.0,105954.0,103430.0,103501.0,2435345,0,1271972500,110091.1
2021-11-01,103514.0,106136.0,103514.0,105551.0,2001833,0,1084124800,109723.65
2021-11-03,105547.0,106754.0,104205.0,105617.0,3003601,0,1484113000,109484.85
2021-11-04,105617.0,105627.0,102835.0,103412.0,2313008,0,1219656600,109132.55
2021-11-05,103417.0,105556.0,103417.0,104824.0,2447108,0,1268758300,108845.75
2021-11-08,104824.0,105679.0,104183.0,104781.0,5913685,0,2829729500,108555.55
2021-11-09,104783.0,106674.0,104783.0,105535.0,2149674,0,1109528900,108190.65
2021-11-10,105534.0,107407.0,105140.0,105968.0,2254961,0,1232303200,107880.0
2021-11-11,105988.0,108669.0,105988.0,107595.0,2353536,0,1271763600,107586.95
2021-11-12,107576.0,107915.0,105842.0,106335.0,2295894,0,1335501200,107244.4
2021-11-16,106336.0,106971.0,104113.0,104404.0,2323124,0,1169960200,106732.2
2021-11-17,104406.0,105535.0,102551.0,102949.0,2440371,0,1295665100,106158.25
2021-11-18,102948.0,103757.0,102014.0,102426.0,2074924,0,1098482700,105745.9
2021-11-19,102424.0,103975.0,102143.0,103035.0,1974817,0,1117555400,105358.35
2021-11-22,103036.0,104613.0,102122.0,102122.0,1932578,0,1046700900,105077.7
2021-11-23,102124.0,103841.0,101736.0,103654.0,2477660,0,1303224900,104945.6
2021-11-24,103649.0,105041.0,102464.0,104514.0,2138771,0,1046664200,104735.55
2021-11-25,104514.0,106400.0,104514.0,105811.0,1832439,0,789020000,104705.1
2021-11-26,105810.0,105810.0,101495.0,102224.0,2114072,0,1097038600,104498.15
2021-11-29,102227.0,104149.0,102226.0,102814.0,2185591,0,1028274400,104353.6
2021-11-30,102814.0,103066.0,100075.0,101916.0,2624618,0,1819065800,104274.35
2021-12-01,101916.0,104087.0,100727.0,100775.0,2705582,0,1376745200,104035.55
2021-12-02,100785.0,104466.0,100785.0,104466.0,2820396,0,1485675900,103978.0
2021-12-03,104465.0,106814.0,104090.0,105070.0,2598860,0,1458144900,104060.9
2021-12-06,105070.0,107498.0,105070.0,106859.0,2148789,0,1113645800,104162.65
2021-12-07,106868.0,108655.0,106868.0,107558.0,1963051,0,1178274300,104301.5
2021-12-08,107558.0,108521.0,107309.0,108096.0,2119300,0,1316676000,104429.55
2021-12-09,108073.0,108090.0,105890.0,106291.0,1715897,0,1108290700,104445.7
2021-12-10,106297.0,108275.0,106297.0,107758.0,1861266,0,1046351700,104453.85
2021-12-13,107758.0,109493.0,107383.0,107383.0,1943515,0,1251278600,104506.25
2021-12-14,107404.0,109148.0,106445.0,106760.0,2014199,0,1160253800,104624.05
2021-12-15,106762.0,107603.0,105697.0,107431.0,2441979,0,1266296900,104848.15
2021-12-16,107433.0,109034.0,107433.0,108326.0,2194289,0,1375454900,105143.15
2021-12-17,108324.0,108324.0,106518.0,107201.0,2161512,0,1493881900,105351.45
2021-12-20,107171.0,107171.0,104358.0,105020.0,1936395,0,1056886000,105496.35
2021-12-21,105210.0,105906.0,105060.0,105500.0,1616677,0,904121300,105588.65
2021-12-22,105499.0,105711.0,104386.0,105244.0,1472029,0,805276400,105625.15
2021-12-23,105251.0,105453.0,104637.0,104891.0,1317841,0,728291700,105579.15
2021-12-27,104892.0,105695.0,104799.0,105554.0,6406688,0,3800227800,105745.65
2021-12-28,105555.0,105652.0,104503.0,104864.0,1271693,0,750894900,105848.15
2021-12-29,104863.0,105190.0,103851.0,104107.0,1288182,0,658985500,105957.7
2021-12-30,104106.0,105269.0,104106.0,104822.0,1615846,0,1113809800,106160.05
2022-01-03,104823.0,106126.0,103413.0,103922.0,7281716,0,3382661900,106132.85
2022-01-04,103922.0,104276.0,103096.0,103514.0,2184807,0,1149577600,106055.05
2022-01-05,103514.0,103514.0,100850.0,101006.0,2483462,0,1288356200,105762.4
2022-01-06,101001.0,102235.0,101000.0,101561.0,2463889,0,1174888100,105462.55
2022-01-07,101561.0,102720.0,101104.0,102720.0,2174662,0,1173288900,105193.75
2022-01-10,102719.0,102719.0,101038.0,101945.0,2120196,0,1026433200,104976.45
2022-01-11,101945.0,103781.0,101918.0,103779.0,20652495,0,11177948300,104777.5
2022-01-12,103775.0,105869.0,103771.0,105686.0,2402392,0,1303442800,104692.65
2022-01-13,105686.0,106251.0,104974.0,105530.0,2042530,0,1171447300,104631.15
2022-01-14,105530.0,107062.0,105028.0,106928.0,1922842,0,1148509900,104606.0
2022-01-17,106924.0,106928.0,106097.0,106374.0,1527910,0,692402100,104508.4
2022-01-18,106369.0,107013.0,105786.0,106668.0,2109495,0,1123992200,104481.75
2022-01-19,106670.0,108602.0,106669.0,108014.0,2159443,0,1259923000,104631.45
2022-01-20,108015.0,109873.0,108015.0,109102.0,2336576,0,1363007500,104811.55
2022-01-21,109097.0,109786.0,108368.0,108942.0,2253470,0,1340805800,104996.45
2022-01-24,108941.0,108948.0,106624.0,107937.0,7184379,0,3810093200,105148.75
2022-01-25,107935.0,110711.0,107185.0,110204.0,2345778,0,1376663700,105381.25
2022-01-26,110207.0,112695.0,110205.0,111289.0,2784064,0,1554937900,105702.5
2022-01-27,111318.0,113057.0,111306.0,112612.0,2287253,0,1481192800,106127.75
2022-01-28,112611.0,112969.0,111407.0,111910.0,2204326,0,1355478200,106482.15
2022-01-31,111910.0,112678.0,111195.0,112144.0,1953342,0,1219074400,106893.25
2022-02-01,112143.0,113302.0,112135.0,113228.0,2020977,0,1113325900,107378.95
2022-02-02,113228.0,113666.0,111645.0,111894.0,1957337,0,1175072000,107923.35
2022-02-03,111897.0,112502.0,111225.0,111696.0,1822591,0,1103972300,108430.1
2022-02-04,111696.0,112415.0,110321.0,112245.0,1944653,0,1145886000,108906.35
2022-02-07,112247.0,112517.0,111490.0,111996.0,1833965,0,1067272500,109408.9
2022-02-08,111995.0,112251.0,110943.0,112235.0,1831247,0,1015927600,109831.7
2022-02-09,112233.0,113163.0,111710.0,112461.0,2104400,0,1379280600,110170.45
2022-02-10,112462.0,113813.0,112163.0,113368.0,2199418,0,1325721100,110562.35
2022-02-11,113368.0,114899.0,113128.0,113572.0,2630236,0,1859834700,110894.55
2022-02-14,113643.0,114167.0,113358.0,113899.0,5761561,0,3240501500,111270.8
2022-02-15,113905.0,114828.0,113883.0,114828.0,2160742,0,1164919700,111678.8
2022-02-16,114830.0,115735.0,114816.0,115181.0,2381695,0,1205214100,112037.15
2022-02-17,115181.0,115214.0,113389.0,113529.0,1866247,0,1080835100,112258.5
2022-02-18,113534.0,114213.0,112701.0,112880.0,1739708,0,1130057800,112455.4
2022-02-21,112880.0,113405.0,111608.0,111725.0,4234924,0,2358098900,112644.8
2022-02-22,111727.0,113315.0,111727.0,112892.0,1932150,0,1270556900,112779.2
2022-02-23,112892.0,113721.0,111748.0,112008.0,2163962,0,1211993300,112815.15
2022-02-24,112001.0,112001.0,109125.0,111592.0,2840934,0,1679279400,112764.15
2022-02-25,111591.0,113142.0,110673.0,113142.0,2617375,0,1755791300,112825.75
2022-03-02,113143.0,115429.0,113143.0,115174.0,2068435,0,1069503100,112977.25
2022-03-03,115173.0,115948.0,115010.0,115166.0,2239268,0,1212861500,113074.15
2022-03-04,115166.0,115166.0,113389.0,114474.0,2072669,0,1071341300,113203.15
2022-03-07,114469.0,114529.0,111140.0,111594.0,2602525,0,1405697000,113198.05
2022-03-08,111594.0,112390.0,110969.0,111204.0,2743430,0,1570560200,113146.0
2022-03-09,111210.0,114051.0,111207.0,113900.0,2737613,0,1470839800,113241.2
2022-03-10,113900.0,113939.0,111889.0,113663.0,2343324,0,1298391800,113312.6
2022-03-11,113664.0,114627.0,111332.0,111713.0,2086593,0,1252036900,113275.2
2022-03-14,111719.0,112299.0,109717.0,109928.0,5505706,0,3145352200,113103.2
2022-03-15,109925.0,109925.0,107781.0,108959.0,2483028,0,1365372800,112872.55
2022-03-16,108958.0,111184.0,108958.0,111112.0,2269979,0,1320622700,112733.2
2022-03-17,111113.0,113088.0,111070.0,113076.0,2281287,0,1440745200,112645.6
2022-03-18,113076.0,115311.0,112475.0,115311.0,2352653,0,1955265900,112652.1
2022-03-21,115307.0,116360.0,115208.0,116155.0,1913424,0,1037846400,112783.4
2022-03-22,116157.0,117541.0,116157.0,117272.0,2656961,0,1138267700,113003.0
2022-03-23,117270.0,118270.0,117036.0,117457.0,1947200,0,1108332500,113289.6
2022-03-24,117457.0,119256.0,117151.0,119053.0,2410441,0,1347426000,113597.65
2022-03-25,119062.0,119729.0,118549.0,119081.0,2410081,0,1381695200,113951.3
2022-03-28,119082.0,119444.0,118061.0,118738.0,1685663,0,916761000,114308.6
2022-03-29,118740.0,120900.0,118740.0,120014.0,2148797,0,1293166500,114652.2
2022-03-30,120013.0,120531.0,119775.0,120260.0,1941182,0,1089777100,114906.5
2022-03-31,120261.0,120880.0,119999.0,119999.0,1699941,0,1121632000,115148.15
2022-04-01,120001.0,121579.0,120001.0,121570.0,2494109,0,1378165900,115502.95
2022-04-04,121569.0,121570.0,120754.0,121280.0,1624026,0,881234300,115987.25
2022-04-05,121279.0,121628.0,118794.0,118885.0,1889256,0,1203730700,116371.3
2022-04-06,118885.0,118885.0,116791.0,118228.0,2444949,0,1341132900,116587.7
2022-04-07,118225.0,119247.0,117509.0,118862.0,1878035,0,1152012100,116847.65
2022-04-08,118862.0,118868.0,117487.0,118322.0,2035794,0,1123394000,117178.1
2022-04-11,118320.0,118320.0,116953.0,116953.0,1696265,0,956213400,117529.35
2022-04-12,116963.0,118615.0,116054.0,116147.0,1784643,0,1140620300,117888.75
2022-04-13,116158.0,117329.0,116158.0,116782.0,2264511,0,1207044800,118172.25
2022-04-14,116779.0,116780.0,115624.0,116182.0,1701336,0,1036540300,118327.55
2022-04-18,116182.0,116191.0,115177.0,115687.0,1464632,0,840904300,118346.35
